Breed,Color,DogName,OwnerZip,Gender,Intact,Age,Weight,AverageWeight,Category
CHIHUAHUA,TAN,ARTEMIS,15237,Male,False,61,5,4.020435069215557,Toy
YORKSHIRE TERRIER,BLACK/BROWN,BRUISER,15116,Male,False,81,6,6.085308056872038,Small
ROTTWEILER,BLACK/BROWN,IVY,15229,Female,False,88,113,115.73399014778325,Giant
SCHNAUZER MIN,MULTI,JOSEPHINE,15239,Female,False,74,11,12.735135135135135,Small
LABRADOR RETRIEVER,BROWN,MURPHY,15228,Male,True,61,74,71.38216365307999,Large
LABRADOR RETRIEVER,WHITE/YELLOW,SHELBY,15228,Female,True,50,66,71.38216365307999,Large
BEAGLE,TRI-COLOR,CROSBY,15044,Male,False,122,18,20.472150814053126,Medium
BERNESE MTN DOG,WHITE/BLACK/BROWN,JAKE,15143,Male,False,112,100,100.91791044776119,Giant
POMERANIAN,MULTI,YOSHI,15216,Male,False,138,5,4.028953229398664,Toy
SCHNAUZER MIN,SALT/PEPPER,ZANDER,15045,Male,False,95,14,12.735135135135135,Small
YORKSHIRE TERRIER,BLACK/BROWN,HARLEY,15122,Female,False,137,5,6.085308056872038,Small
YORKSHIRE TERRIER,BLACK/SILVER,BJ,15044,Male,False,192,6,6.085308056872038,Small
GOLDENDOODLE,TAN,LILY,15235,Female,True,52,66,71.67073954983923,Large
CHIHUAHUA,TAN,REESE,15205,Male,False,116,5,4.020435069215557,Toy
JACK RUSSEL TERRIER,WHITE,ZEUS,15090,Male,True,40,10,10.99581589958159,Small
BEAGLE,WHITE/BLACK/BROWN,BOHDI,15102,Male,True,75,19,20.472150814053126,Medium
LABRADOR RETRIEVER,WHITE/TAN,RUTHIE,15237,Female,True,125,53,71.38216365307999,Large
HAVANESE,WHITE,CHARLIE,15236,Male,True,170,7,10.14186046511628,Small
BOXER,BRINDLE,ZUMA,15216,Male,True,68,69,71.2519422863485,Large
LABRADOR RETRIEVER,RED,FLEURY,15216,Male,True,75,70,71.38216365307999,Large
BORD COLLIE,WHITE/BLACK,MICKY,15241,Female,False,28,52,47.652482269503544,Large
GREAT DANE,BRINDLE,PENELOPE,15235,Female,False,99,166,152.86305732484075,Giant
GREAT PYRENEES,BLONDE,TURK,15228,Male,False,100,126,103.94090909090909,Giant
HAVANESE,BROWN,BENTLEY,15239,Male,False,119,11,10.14186046511628,Small
SHETLAND SHEEPDOG,MULTI,STORMY,15205,Female,False,65,17,18.449101796407184,Small
LABRADOR RETRIEVER,YELLOW,EMMA,15084,Female,False,101,56,71.38216365307999,Large
COLLIE,SABLE,CAMERON,15068,Male,False,70,65,66.7784090909091,Large
LABRADOR RETRIEVER,BLACK,MISTY,15068,Female,False,109,73,71.38216365307999,Large
COLLIE,SABLE,LOGAN,15068,Male,False,42,72,66.7784090909091,Large
LABRADOODLE,BLACK,ROCKY,15136,Male,True,83,70,72.0954954954955,Large
GOLDEN RETRIEVER,GOLD,MOOSE,15137,Male,True,63,69,64.81926121372031,Large
CAV KING CHAR SPANI,WHITE/BROWN,BUCKY,15228,Male,True,172,15,14.696850393700787,Small
LABRADOR RETRIEVER,YELLOW,SOPHIE,15214,Female,False,44,61,71.38216365307999,Large
SHIH TZU,BLACK/GREY,CHESTER,15025,Male,False,34,12,12.004834810636583,Small
LABRADOR RETRIEVER,SILVER,LILY,15046,Female,False,44,68,71.38216365307999,Large
BOSTON TERRIER,BROWN,MINI,15046,Female,True,100,13,16.468503937007874,Small
FRENCH BULLDOG,BLONDE,BRIE,15046,Female,True,45,19,20.437100213219615,Medium
YORKSHIRE TERRIER,BLACK/TAN,MILO,15236,Male,False,156,6,6.085308056872038,Small
SCHNAUZER MIN,GREY,MISTY,15101,Female,False,179,13,12.735135135135135,Small
SHIH TZU,GOLD,GIGI,15145,Female,False,102,12,12.004834810636583,Small
GOLDENDOODLE,APRICOT,ROONEY,15129,Female,False,64,93,71.67073954983923,Large
BOXER,FAWN,JACKSON,15108,Male,True,82,68,71.2519422863485,Large
BOXER,BROWN,LUCY,15108,Female,True,52,70,71.2519422863485,Large
GOLDENDOODLE,APRICOT,LILY,15234,Female,False,68,71,71.67073954983923,Large
POODLE STANDARD,APRICOT,ALEXANDER,15037,Male,False,88,65,63.14046822742475,Large
BEAGLE,WHITE/BLACK/BROWN,MOLLY,15235,Female,False,82,22,20.472150814053126,Medium
ENG BULLDOG,WHITE/BROWN,DOZER,15024,Male,True,85,46,42.68345323741007,Medium
MORKIE,GREY,STANLEY,15068,Male,False,76,5,5.054421768707483,Toy
GOLDENDOODLE,TAN,BELLA,15238,Female,False,98,71,71.67073954983923,Large
LABRADOR RETRIEVER,WHITE/YELLOW,MAGGIE,15044,Female,False,93,70,71.38216365307999,Large
LABRADOR RETRIEVER,BROWN,RUBY,15044,Female,False,93,62,71.38216365307999,Large
BEAGLE,WHITE/BLACK/BROWN,WILLIE,15024,Male,True,98,19,20.472150814053126,Medium
BEAGLE,WHITE/YELLOW,BOOMER,15024,Male,True,144,22,20.472150814053126,Medium
BEAGLE,WHITE/BLACK/BROWN,MAGGIE,15024,Female,True,136,21,20.472150814053126,Medium
BEAGLE,WHITE/BLACK/BROWN,LOLA,15024,Female,True,93,22,20.472150814053126,Medium
BEAGLE,RED,DIAMOND,15024,Female,False,96,22,20.472150814053126,Medium
GER SHEPHERD,BLACK,BUDDY,15220,Male,True,104,83,81.36481303930968,Large
GOLDEN RETRIEVER,GOLD,STELLA,16046,Female,False,32,61,64.81926121372031,Large
WELSH CORGI PEMBROK,WHITE/BLACK/BROWN,LUCY,15136,Female,False,72,34,33.037151702786375,Medium
CAV KING CHAR SPANI,WHITE/BLACK/BROWN,HUCKLEBERRY,15220,Male,True,98,11,14.696850393700787,Small
DACHSHUND,BROWN,OSKAN,15101,Male,True,152,22,22.387126019945605,Medium
BEAGLE,MULTI,CHOCO,15037,Male,True,125,22,20.472150814053126,Medium
BEAGLE,BLACK/TAN/WHITE,ROXY,15037,Female,True,49,18,20.472150814053126,Medium
LABRADOR RETRIEVER,CHOCOLATE,GUINNESS,15237,Female,False,41,61,71.38216365307999,Large
BOXER,BLACK,DUTCH,15065,Male,True,125,66,71.2519422863485,Large
COCKER SPANIEL,BROWN,HAZEL HAERR,15068,Female,False,151,27,26.53018372703412,Medium
GER SHEPHERD,BLACK/TAN,ONYX,15122,Male,True,128,99,81.36481303930968,Large
COCKER SPANIEL,WHITE/TAN,DUNCAN,15071,Male,False,146,27,26.53018372703412,Medium
AM PIT BULL TERRIER,GREY,FURY,15235,Male,True,66,69,62.09428223844282,Large
GOLDENDOODLE,BROWN,RUFUS,15108,Male,False,69,75,71.67073954983923,Large
BEAGLE,BLACK/BROWN,BAGEL,15139,Male,False,59,26,20.472150814053126,Medium
BERNESE MTN DOG,TRI-COLOR,EOWYN,15229,Female,True,95,102,100.91791044776119,Giant
BEAGLE,WHITE/BLACK/BROWN,ECHO,15017,Female,False,19,17,20.472150814053126,Medium
BEAGLE,WHITE/BLACK/BROWN,WHISPER,15017,Female,False,139,15,20.472150814053126,Medium
SHIH TZU,WHITE/BLACK/BROWN,ABBY,15106,Female,False,103,10,12.004834810636583,Small
DACHSHUND,BLACK/BROWN/TAN,POPPY,15238,Female,False,85,21,22.387126019945605,Medium
LABRADOR RETRIEVER,SILVER,MILLIE,15237,Female,True,74,66,71.38216365307999,Large
BOSTON TERRIER,BLUE/WHITE,RAZZY,15116,Female,False,111,18,16.468503937007874,Small
POODLE TOY,BLACK,OPIE,15017,Female,True,131,4,3.995475113122172,Toy
GOLDENDOODLE,APRICOT,DUKE,15090,Male,False,101,76,71.67073954983923,Large
GREAT DANE,BLACK,CHLOE,15145,Female,False,50,120,152.86305732484075,Giant
LABRADOR RETRIEVER,YELLOW,TUCKER,15214,Male,False,68,74,71.38216365307999,Large
MIN PINSCHER,BLACK,MOLLY,15237,Female,False,49,6,7.959641255605381,Small
AUS SHEPHERD,BRINDLE,LEXI,15071,Female,False,126,51,57.110864745011085,Large
BEAGLE,WHITE/BLACK/BROWN,BELLA,15084,Female,False,123,20,20.472150814053126,Medium
BOXER,FAWN,BRUNO,15210,Male,False,30,64,71.2519422863485,Large
LABRADOR RETRIEVER,BLACK,BOONE,15071,Male,True,120,74,71.38216365307999,Large
BORD COLLIE,WHITE/BLACK,ETHEL,15104,Female,False,85,41,47.652482269503544,Large
BORD COLLIE,WHITE/BLACK,LUCY,15104,Female,False,114,45,47.652482269503544,Large
POMERANIAN,WHITE/TAN,HONEY,15214,Male,False,25,5,4.028953229398664,Toy
POODLE STANDARD,RED,RUDY,15044,Male,False,123,67,63.14046822742475,Large
POODLE STANDARD,BLACK,NAIROBI,15120,Female,True,120,43,63.14046822742475,Large
CHIHUAHUA,BROWN,ROSCO,15101,Male,False,56,5,4.020435069215557,Toy
CHIHUAHUA,BLACK/TAN/WHITE,RILEY,15101,Female,False,109,3,4.020435069215557,Toy
CHIHUAHUA,TAN,NUGGET,15057,Female,True,31,3,4.020435069215557,Toy
LABRADOR RETRIEVER,CHOCOLATE,INCA,15237,Female,False,23,62,71.38216365307999,Large
AM PIT BULL TERRIER,GREY,JASMINE,15122,Female,False,133,58,62.09428223844282,Large
PUG,WHITE/BLACK,LOLA,15237,Female,False,121,16,14.765407554671969,Small
AUS CATTLE DOG,BROWN,ELSA,15239,Female,False,107,42,42.33974358974359,Medium
GOLDENDOODLE,BLACK,MAVERICK,15017,Male,False,60,82,71.67073954983923,Large
GOLDENDOODLE,RED,CHEWIE,15057,Male,False,142,90,71.67073954983923,Large
LABRADOR RETRIEVER,YELLOW,CJ,15014,Female,False,59,80,71.38216365307999,Large
AM PIT BULL TERRIER,TAN,LIL KAREN,15229,Female,True,32,64,62.09428223844282,Large
GOLDEN RETRIEVER,GOLD,RUSTY,15084,Male,False,123,67,64.81926121372031,Large
POMERANIAN,GOLD,STELLA,15129,Female,False,27,3,4.028953229398664,Toy
GER SHEPHERD,BLACK/BROWN,JOVIE,15090,Female,False,141,70,81.36481303930968,Large
LABRADOR RETRIEVER,BLACK,KELSEY MARIE,15116,Female,False,86,76,71.38216365307999,Large
LABRADOR RETRIEVER,OTHER,SADIE LYNN BIERS,15108,Female,False,100,75,71.38216365307999,Large
LABRADOR RETRIEVER,SILVER,WILLOW,15106,Female,False,132,52,71.38216365307999,Large
PUG,FAWN,RUFUS,15136,Male,True,60,16,14.765407554671969,Small
GOLDEN RETRIEVER,TAN,REMINGTON,15136,Male,True,128,60,64.81926121372031,Large
GREAT DANE,FAWN,CAM,15145,Male,True,89,179,152.86305732484075,Giant
GOLDEN RETRIEVER,GOLD,LAYLA,15139,Female,True,79,59,64.81926121372031,Large
COCKAPOO,BLACK,CARLOS,15136,Male,True,122,35,35.861111111111114,Medium
PUG,WHITE/BROWN,MILEY,15044,Female,True,168,13,14.765407554671969,Small
MORKIE,BROWN,ROSIE,15044,Female,False,53,4,5.054421768707483,Toy
CHIHUAHUA,WHITE/BROWN,BEAU,15235,Male,False,148,4,4.020435069215557,Toy
LABRADOR RETRIEVER,WHITE/TAN,FROST,15235,Male,True,83,60,71.38216365307999,Large
PUG,FAWN,MAX,15106,Male,False,66,16,14.765407554671969,Small
MALTESE,WHITE,GLACIER,15126,Male,False,26,5,3.9972677595628414,Toy
GOLDENDOODLE,GOLD,MOOSE,15126,Male,False,56,87,71.67073954983923,Large
POODLE TOY,RED,RED,15044,Male,True,31,5,3.995475113122172,Toy
POODLE TOY,BROWN,ROSIE,15044,Female,True,29,4,3.995475113122172,Toy
POODLE TOY,RED,PHOENIX,15044,Female,True,171,3,3.995475113122172,Toy
POODLE TOY,RED/BROWN,CODY,15044,Male,True,75,5,3.995475113122172,Toy
CHIHUAHUA,BLACK/TAN,MILO,15071,Male,False,191,5,4.020435069215557,Toy
GOLDEN RETRIEVER,RED,STEELY GOLDSTEIN,15057,Female,False,71,63,64.81926121372031,Large
GOLDEN RETRIEVER,GOLD,LUNA,15126,Female,False,65,63,64.81926121372031,Large
GOLDEN RETRIEVER,GOLD,THOR,15126,Male,False,108,66,64.81926121372031,Large
LABRADOR RETRIEVER,BLACK,MOJI,15215,Male,False,135,76,71.38216365307999,Large
LABRADOR RETRIEVER,BLACK,WELLES,15215,Male,False,117,78,71.38216365307999,Large
BORD COLLIE,BLACK,BELLA,15227,Female,False,140,44,47.652482269503544,Large
LABRADOR RETRIEVER,CHOCOLATE,REESE,15235,Male,False,94,84,71.38216365307999,Large
BICHON FRISE,BLACK,ROXY,15227,Female,False,59,15,13.739583333333334,Small
ENG BULLDOG,WHITE/BRINDLE,SWEET PEA,15129,Female,False,106,39,42.68345323741007,Medium
ENG BULLDOG,WHITE/RED,PORK CHOP,15129,Male,False,18,42,42.68345323741007,Medium
LABRADOODLE,APRICOT,HONEY,15235,Female,False,96,60,72.0954954954955,Large
GOLDENDOODLE,RED,TEDDY,15235,Male,False,86,71,71.67073954983923,Large
PUGGLE,TAN,MARTY SEBELIA,15131,Male,False,157,16,15.64102564102564,Small
LABRADOR RETRIEVER,YELLOW,HANNA,15146,Female,False,42,67,71.38216365307999,Large
BICHON FRISE,WHITE,DUKE,15146,Male,False,49,16,13.739583333333334,Small
POODLE STANDARD,BROWN,MINTY,15236,Female,False,112,62,63.14046822742475,Large
LABRADOR RETRIEVER,SILVER,HAZEL,15146,Female,False,135,69,71.38216365307999,Large
BERNESE MTN DOG,MERLE,HANK,15068,Male,True,75,114,100.91791044776119,Giant
AM PIT BULL TERRIER,TAN,CHINO,15120,Male,True,77,65,62.09428223844282,Large
GOLDENDOODLE,WHITE/BLACK,BRECK,15102,Male,False,113,63,71.67073954983923,Large
YORKSHIRE TERRIER,BLACK/BROWN,BELLA,15122,Female,True,72,6,6.085308056872038,Small
ROTTWEILER,BLACK/BROWN/TAN,SATIVA,15122,Female,True,97,112,115.73399014778325,Giant
GOLDEN RETRIEVER,GOLD/RED,DARBY,15215,Male,False,100,64,64.81926121372031,Large
BEAGLE,MULTI,ROSIE ANN SCHMIDT,15132,Female,True,45,18,20.472150814053126,Medium
BEAGLE,WHITE/BLACK,NASH,15108,Male,False,101,18,20.472150814053126,Medium
PUGGLE,BLACK/TAN,GEORGE,15145,Male,False,57,16,15.64102564102564,Small
GER SHEPHERD,BLACK,BLAZE,15239,Male,False,135,93,81.36481303930968,Large
FRENCH BULLDOG,MERLE,LUC,15044,Male,False,162,20,20.437100213219615,Medium
GER SHEPHERD,BLACK/TAN,ADA,15044,Female,True,71,86,81.36481303930968,Large
GER SHEPHERD,BLUE,SKY,15044,Male,False,85,85,81.36481303930968,Large
GER SHEPHERD,BLACK/BROWN,JACKSON,15237,Male,False,121,93,81.36481303930968,Large
AM PIT BULL TERRIER,FAWN,LUCKY,15236,Male,False,63,76,62.09428223844282,Large
LABRADOR RETRIEVER,BLACK,REMI,15126,Male,False,130,85,71.38216365307999,Large
ENG BULLDOG,APRICOT,GINGER,15120,Female,False,118,35,42.68345323741007,Medium
LABRADOR RETRIEVER,YELLOW,DARBY,15017,Female,False,111,73,71.38216365307999,Large
AUS SHEPHERD,GREY,NERO,15239,Male,False,92,63,57.110864745011085,Large
AUS SHEPHERD,BROWN,RIPLEY,15239,Female,False,56,55,57.110864745011085,Large
GER SHEPHERD,BLACK/TAN,JUNIE BEAR,15135,Female,False,143,79,81.36481303930968,Large
AM PIT BULL TERRIER,WHITE/BLACK,DALTON,15214,Male,False,34,70,62.09428223844282,Large
SHIH TZU,WHITE/BROWN,FANNIE MAE,15101,Female,False,82,13,12.004834810636583,Small
SHIH TZU,WHITE/BLACK/BROWN,LUNA TIN,15108,Female,False,94,10,12.004834810636583,Small
GER SHORTHAIR POINT,SPOTTED,ROSABELLA,15133,Female,True,113,59,62.642140468227424,Large
LABRADOODLE,WHITE/TAN,ROMIE,15090,Male,False,117,72,72.0954954954955,Large
GOLDEN RETRIEVER,BROWN,MAX,15108,Male,False,20,76,64.81926121372031,Large
POODLE STANDARD,CREAM,BAXTER,15108,Male,True,91,64,63.14046822742475,Large
AUS SHEPHERD,WHITE/BROWN,SNOWBALL,15129,Male,False,53,53,57.110864745011085,Large
CHIHUAHUA,WHITE/BLACK,SYMON,15209,Male,False,178,5,4.020435069215557,Toy
SHETLAND SHEEPDOG,WHITE,SADIE,15044,Female,False,126,15,18.449101796407184,Small
PARSON RUSSELL TERR,WHITE/BROWN,MILEY,15136,Female,False,34,13,14.603174603174603,Small
CHIHUAHUA,FAWN,PACO,15209,Male,False,134,4,4.020435069215557,Toy
LABRADOR RETRIEVER,YELLOW,CHLOE,15237,Female,False,34,57,71.38216365307999,Large
AM PIT BULL TERRIER,BRINDLE,REMI,15137,Female,True,128,60,62.09428223844282,Large
YORKSHIRE TERRIER,BLACK/TAN,MIA,15057,Female,True,77,6,6.085308056872038,Small
BERNESE MTN DOG,WHITE/BLACK/BROWN,BAILEY,15057,Female,True,52,105,100.91791044776119,Giant
HAVANESE,BROWN,FINLEY,15214,Male,False,115,12,10.14186046511628,Small
GER SHEPHERD,BLACK/BROWN,MIA,15239,Female,True,55,79,81.36481303930968,Large
PARSON RUSSELL TERR,WHITE/BROWN,JACK,15146,Male,False,66,15,14.603174603174603,Small
PARSON RUSSELL TERR,WHITE/BLACK/BROWN,ZOREN,15146,Male,False,139,15,14.603174603174603,Small
COCKAPOO,RED,BUBBLES,15146,Female,False,113,32,35.861111111111114,Medium
LABRADOODLE,WHITE,BANJO,15215,Male,False,47,72,72.0954954954955,Large
LABRADOODLE,BROWN,PIPER,15215,Female,False,53,70,72.0954954954955,Large
LABRADOR RETRIEVER,WHITE,SCOUT,15237,Male,True,45,76,71.38216365307999,Large
GOLDEN RETRIEVER,RED,WILKIE,15237,Male,False,86,69,64.81926121372031,Large
BASSET HOUND,WHITE/BROWN,RUBY,15228,Female,False,109,50,57.184357541899445,Large
GER SHEPHERD,BLACK/RED,ZOE,15215,Female,True,114,79,81.36481303930968,Large
GER SHEPHERD,BLACK,BLAZE,15239,Male,True,49,67,81.36481303930968,Large
LABRADOR RETRIEVER,BLACK,GEORGIA,15236,Female,True,47,69,71.38216365307999,Large
GOLDEN RETRIEVER,GOLD,HONEY BEAR,15215,Female,True,128,50,64.81926121372031,Large
GER SHEPHERD,BLACK/TAN,SID,15028,Male,True,29,81,81.36481303930968,Large
CHIHUAHUA,WHITE/BROWN,MOLLY THE BRAVE,15112,Female,False,150,4,4.020435069215557,Toy
CHIHUAHUA,TAN,FRENCH FRY,15112,Male,False,95,4,4.020435069215557,Toy
DACHSHUND,BROWN,SAMMY,15090,Male,False,112,24,22.387126019945605,Medium
GER SHEPHERD,BLACK,JUNIPER,15106,Female,False,34,72,81.36481303930968,Large
AUS SHEPHERD,WHITE/BLACK/BROWN,CASH,15065,Male,True,127,61,57.110864745011085,Large
ENG BULLDOG,WHITE,TREASURE,15135,Female,True,115,40,42.68345323741007,Medium
CHIHUAHUA,BLACK,CHICA,15133,Female,False,56,3,4.020435069215557,Toy
SHIH TZU,SPOTTED,MOCHA BEAN,15241,Male,False,181,12,12.004834810636583,Small
GOLDEN RETRIEVER,YELLOW,MASLOW,15044,Male,True,79,74,64.81926121372031,Large
ENG BULLDOG,BROWN,BENTLEY,15135,Male,True,130,48,42.68345323741007,Medium
GOLDENDOODLE,GOLD,SIMBA,15146,Male,False,93,65,71.67073954983923,Large
SHIH TZU,SPOTTED,MOCHA BEAN,15241,Male,False,118,13,12.004834810636583,Small
SHIH TZU,SPOTTED,MOCHA BEAN,15241,Male,False,171,14,12.004834810636583,Small
GOLDENDOODLE,WHITE,STANLEY,15014,Male,True,124,72,71.67073954983923,Large
LABRADOODLE,BROWN/BLONDE,MAGGIE,15057,Female,False,100,69,72.0954954954955,Large
SCHNAUZER MIN,WHITE/BLACK,MAXIE,15102,Female,False,184,13,12.735135135135135,Small
GOLDEN RETRIEVER,GOLD,ROSIE,15057,Female,False,71,66,64.81926121372031,Large
SHIH TZU,BLACK/BROWN,SUZIE,15108,Female,False,25,12,12.004834810636583,Small
ROTTWEILER,BLACK,KEISEL,15132,Male,False,75,123,115.73399014778325,Giant
DACHSHUND,FAWN,TED,15218,Male,False,39,26,22.387126019945605,Medium
DACHSHUND,RED,JASPER,15218,Male,False,106,21,22.387126019945605,Medium
GOLDEN RETRIEVER,GOLD,LUNA,15205,Female,False,88,60,64.81926121372031,Large
ROTTWEILER,BLACK/BROWN,RUMBLE,15133,Male,True,104,108,115.73399014778325,Giant
LABRADOR RETRIEVER,BLACK,CECILIA,15090,Female,False,96,86,71.38216365307999,Large
LABRADOR RETRIEVER,MULTI,GEORGE,15237,Male,False,22,90,71.38216365307999,Large
GOLDENDOODLE,GOLD,HOLLAND,15135,Female,False,94,68,71.67073954983923,Large
LABRADOR RETRIEVER,YELLOW,COOPER,15236,Male,False,44,67,71.38216365307999,Large
AUS CATTLE DOG,RED,GRACE,15126,Female,True,81,29,42.33974358974359,Medium
POODLE TOY,WHITE,HARU,15234,Female,False,49,4,3.995475113122172,Toy
BEAGLE,OTHER,NASH,15071,Male,False,38,22,20.472150814053126,Medium
BOXER,BROWN,ALI,15122,Female,False,107,66,71.2519422863485,Large
GER SHEPHERD,BLACK,BEAR,15037,Female,True,137,80,81.36481303930968,Large
GOLDENDOODLE,BROWN,RIVER,15108,Male,False,94,85,71.67073954983923,Large
CHIHUAHUA,TAN,LILY,15044,Female,False,91,3,4.020435069215557,Toy
DACHSHUND,GOLD,PRINCESS RAE,15090,Female,False,89,19,22.387126019945605,Medium
DACHSHUND,BLACK,FRITZ,15090,Male,False,18,23,22.387126019945605,Medium
GER SHEPHERD,BLACK/BROWN,LUCI,15135,Female,False,138,65,81.36481303930968,Large
BEAGLE,TRI-COLOR,BRANDY,15237,Female,False,72,14,20.472150814053126,Medium
BOSTON TERRIER,WHITE/BLACK,MATT,15237,Male,True,58,17,16.468503937007874,Small
GER SHEPHERD,BLACK/BROWN,ZIVA,15132,Female,False,91,81,81.36481303930968,Large
BEAGLE,WHITE/BLACK/BROWN,CLEMENTINE NAVARRO SHRIVER,15090,Female,False,62,19,20.472150814053126,Medium
FRENCH BULLDOG,BRINDLE,PO,15243,Male,False,41,17,20.437100213219615,Medium
GOLDENDOODLE,TAN,KONA,15116,Female,False,118,74,71.67073954983923,Large
GER SHEPHERD,SABLE,MATILDA,15205,Female,False,124,67,81.36481303930968,Large
LABRADOR RETRIEVER,SPOTTED,TUCKER,15135,Male,True,76,81,71.38216365307999,Large
GER SHEPHERD,BLACK/BROWN,SARA,15146,Female,True,97,80,81.36481303930968,Large
LABRADOR RETRIEVER,BROWN,TUCKER,15057,Male,True,88,71,71.38216365307999,Large
AM PIT BULL TERRIER,BROWN,STITCH,15101,Male,False,78,56,62.09428223844282,Large
LABRADOR RETRIEVER,YELLOW,RYLEE,15084,Female,False,101,69,71.38216365307999,Large
GER SHEPHERD,SABLE,ATHENA,15106,Female,False,42,73,81.36481303930968,Large
GER SHEPHERD,BLACK/BROWN,SOOKIE,15229,Female,True,22,89,81.36481303930968,Large
W HGHLND WH TERRIER,WHITE,MUFFIN,15229,Female,True,20,19,16.637735849056604,Small
DOBERMAN PINSCHER,BLACK/BROWN,KLAUS,15026,Male,True,35,91,87.36585365853658,Large
YORKSHIRE TERRIER,BLACK/BROWN,SAMANTHA (SAMMIE),15101,Female,False,120,5,6.085308056872038,Small
GER SHORTHAIR POINT,SPOTTED,DUKE,15014,Male,False,95,62,62.642140468227424,Large
YORKSHIRE TERRIER,BLACK/TAN,GEMMA MOORE,15215,Female,False,113,7,6.085308056872038,Small
BORD COLLIE,WHITE/BLACK,SHADOW,15024,Male,False,22,48,47.652482269503544,Large
PUG,BLONDE,WINNIE,15101,Female,False,168,13,14.765407554671969,Small
BICHON FRISE,WHITE,SUMMER,15237,Female,False,141,13,13.739583333333334,Small
CHIHUAHUA,BLACK WITH WHITE,PRINCESS,15237,Female,False,170,3,4.020435069215557,Toy
GER SHEPHERD,BLACK/BROWN,KIMBA,15120,Female,False,82,67,81.36481303930968,Large
GOLDEN RETRIEVER,GOLD,ABBY,15108,Female,False,107,58,64.81926121372031,Large
COCKAPOO,MERLE,HONOR YOU,15237,Female,False,109,35,35.861111111111114,Medium
AM PIT BULL TERRIER,WHITE/BROWN,STAR,15137,Female,False,102,55,62.09428223844282,Large
AM PIT BULL TERRIER,TAN,SAPPHIRE,15104,Female,False,96,53,62.09428223844282,Large
AM PIT BULL TERRIER,WHITE/BROWN,SOUSA,15025,Male,True,86,81,62.09428223844282,Large
GREAT PYRENEES,WHITE,APOLLO,15014,Male,True,57,122,103.94090909090909,Giant
YORKSHIRE TERRIER,BLACK/TAN,VINNIE,15202,Male,False,184,7,6.085308056872038,Small
BOXER,BRINDLE,SHEA,15025,Male,True,151,75,71.2519422863485,Large
LABRADOR RETRIEVER,YELLOW,WINNIE,15068,Female,False,30,61,71.38216365307999,Large
LABRADOR RETRIEVER,CHOCOLATE,LEO,15216,Male,False,125,78,71.38216365307999,Large
LABRADOR RETRIEVER,BROWN,SILAS,15025,Male,False,48,81,71.38216365307999,Large
SHIH TZU,TRI-COLOR,LUNA,15135,Female,False,166,12,12.004834810636583,Small
SHIH TZU,GREY,ZOE,15135,Female,False,141,12,12.004834810636583,Small
SHIH TZU,WHITE/TAN,ZOEY,15026,Female,False,35,12,12.004834810636583,Small
JACK RUSSEL TERRIER,SPOTTED,RUDY,15243,Male,False,71,10,10.99581589958159,Small
BOXER,FAWN,CHLOE,15214,Female,False,129,63,71.2519422863485,Large
WELSH CORGI PEMBROK,MULTI,WINTER,15205,Female,False,35,34,33.037151702786375,Medium
JACK RUSSEL TERRIER,MULTI,LIZZY,15084,Female,False,22,10,10.99581589958159,Small
LABRADOODLE,BLACK/BROWN,SHILO,15243,Male,False,132,78,72.0954954954955,Large
SIB HUSKY,BLACK WITH WHITE,NAHLA,15237,Female,False,26,54,52.40229885057471,Large
LABRADOR RETRIEVER,BROWN,MOXIE,15102,Female,True,45,78,71.38216365307999,Large
LABRADOR RETRIEVER,SILVER,CAIRO,15146,Male,False,20,75,71.38216365307999,Large
W HGHLND WH TERRIER,WHITE,JACK,15221,Male,False,98,21,16.637735849056604,Small
SIB HUSKY,WHITE/BLACK,THUNDER,15147,Male,False,119,53,52.40229885057471,Large
BICHON FRISE,WHITE,JASPER,15057,Male,False,134,13,13.739583333333334,Small
BOSTON TERRIER,BLACK,SUMMER,15017,Female,False,127,18,16.468503937007874,Small
BOSTON TERRIER,WHITE/BLACK,DEX,15243,Male,True,49,16,16.468503937007874,Small
FRENCH BULLDOG,BLACK,ZEKE,15243,Male,False,171,18,20.437100213219615,Medium
AM PIT BULL TERRIER,WHITE/BLACK,NOOK,15235,Male,False,132,74,62.09428223844282,Large
BOSTON TERRIER,WHITE/BLACK,RUBY,15236,Female,False,110,15,16.468503937007874,Small
LABRADOR RETRIEVER,YELLOW,BRISCOE,15044,Male,False,98,79,71.38216365307999,Large
GREAT PYRENEES,WHITE,BENTLEY,15228,Male,False,28,111,103.94090909090909,Giant
LABRADOR RETRIEVER,BLACK,ALI,15235,Female,True,40,73,71.38216365307999,Large
LABRADOR RETRIEVER,BLACK,FIVE,15235,Male,True,18,78,71.38216365307999,Large
LABRADOR RETRIEVER,BLACK,DOB,15235,Male,True,129,75,71.38216365307999,Large
CHIHUAHUA,BROWN,PEANUT,15147,Male,False,97,3,4.020435069215557,Toy
LABRADOR RETRIEVER,BROWN,DUTCH,15205,Male,False,79,76,71.38216365307999,Large
PUGGLE,BLACK/TAN,MILO,15229,Male,False,101,17,15.64102564102564,Small
AM PIT BULL TERRIER,GREY,BLUE,15229,Male,True,27,67,62.09428223844282,Large
AM PIT BULL TERRIER,,SMOKEY,15243,Female,False,112,69,62.09428223844282,Large
GER SHEPHERD,BLACK/TAN,KIRA,15147,Female,False,100,79,81.36481303930968,Large
